,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,prefered_category,training_ID,training_type,training_name,trainer_name,training_total_meetings,training_price,discount_training,cross_selling,upselling
511,P0512,PD Wibisono,Jasmin Usamah,"Jalan Ciumbuleuit No. 092
Surabaya, SR 79242",(0623) 807-2387,salwamardhiyah@example.org,"Pertanian, Kehutanan dan Perikanan",2021-05-26,2,bulan,2,Retail,8000000.0,1,email,negatif,bagus,20,7,25,2,Tidak,2,Other Series,B0512,Other Series,Information Security Awareness,Ibun,8,4000000,0,Customer Service Excellence For Basic and Frontliner,Information Security Awareness
512,P0513,CV Hariyah,Sadina Sitorus,"Gg. Dipenogoro No. 938
Mataram, AC 19925",(036) 120 4801,jaka06@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-05-27,3,diskon,9,Group,40950000.0,4,social media,positif,buruk,60,16,70,4,Ya,4,Finance Series,B0513,Finance Series,International Banking Facility,Alam,14,7000000,35,Finance for Non Finance Executive,International Banking Facility
513,P0514,UD Sitorus,Reza Napitupulu,"Gg. Kutai No. 8
Blitar, NT 62265",(059) 034 7376,bjailani@example.org,Konstruksi,2021-05-28,5,diskon,14,Group,58800000.0,4,social media,positif,bagus,80,24,80,5,Ya,5,Sales & Marketing Series,B0514,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Haris,17,7000000,40,Professional Selling Skills,Sales Forecasting: for Sales Target Results
514,P0515,PD Pradipta Tbk,Prabu Wijaya,"Gg. Lembong No. 4
Pagaralam, Riau 25240",(048) 941 1104,purwadinuraini@example.org,Pengangkutan dan Pergudangan,2021-05-29,4,diskon,12,Group,59400000.0,4,social media,positif,bagus,90,21,80,4,Ya,5,HR Series,B0515,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,55,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
515,P0516,PD Fujiati,Baktiono Susanti,"Jl. HOS. Cokroaminoto No. 4
Surakarta, Jawa Timur 67715",(076) 749-3536,hidayatpanca@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",2021-05-30,5,diskon,12,Group,66000000.0,5,social media,positif,bagus,80,27,80,4,Ya,5,Training Series,B0516,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,45,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
516,P0517,UD Haryanti Wahyuni Tbk,Rafi Uwais,"Jl. Astana Anyar No. 426
Manado, JT 53869",(079) 457-6681,vhastuti@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2021-05-31,5,diskon,14,Group,58800000.0,5,social media,positif,bagus,85,23,85,5,Ya,5,Other Series,B0517,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
517,P0518,CV Nuraini Kuswandari (Persero) Tbk,Dagel Gunarto,"Gang Rajawali Barat No. 2
Singkawang, Papua 24580",+62 (035) 055-2064,najwa70@example.org,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-06-01,4,diskon,8,Group,61600000.0,4,social media,positif,bagus,75,19,65,4,Ya,4,HR Series,B0518,HR Series,Build A Great and Strong Corporate Culture,Reza,14,11000000,30,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
518,P0519,Perum Waskita Wijaya (Persero) Tbk,Tugiman Tamba,"Jl. Rumah Sakit No. 9
Batu, JI 40491",+62 (0544) 601-2189,khariyah@example.org,Industri Pengolahan,2021-06-02,4,musiman,7,Group,26250000.0,4,social media,positif,bagus,60,18,60,4,Ya,4,Sales & Marketing Series,B0519,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,12,5000000,25,Marketing Research For Business Using SPSS,Sales Forecasting: for Sales Target Results
519,P0520,PD Situmorang Mandala,Jarwi Uwais,"Gg. Gardujati No. 43
Cimahi, Kalimantan Utara 79012",+62 (079) 263-9040,setiawanjayeng@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-06-03,5,diskon,16,Group,38400000.0,4,social media,positif,bagus,90,20,90,5,Ya,5,Credit & Collection Series,B0520,Credit & Collection Series,Managing Corporate Collection,Ibun,17,4000000,40,Professional Debt Collection Skills,Managing Corporate Collection
520,P0521,UD Pradipta Sihombing (Persero) Tbk,Kawaca Narpati,"Gang Setiabudhi No. 8
Denpasar, JI 32470",+62-0449-458-5136,zpermadi@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-06-04,5,diskon,12,Group,79200000.0,5,social media,positif,bagus,80,23,90,5,Ya,5,HR Series,B0521,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,40,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
521,P0522,PT Latupono,Intan Siregar,"Gang Sukajadi No. 72
Tangerang Selatan, Bengkulu 99064",+62 (824) 856-7817,wisnuwulandari@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2021-06-05,3,diskon,10,Group,70000000.0,3,social media,positif,sedang,70,16,70,3,Ya,4,Training Series,B0522,Training Series,Comprehensive Train The Trainers,Haris,14,10000000,30,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
522,P0523,PT Utama Hidayat,Tgk. Karta Hidayat,"Jl. Kapten Muslihat No. 3
Meulaboh, BT 00679",(0280) 884 0784,jirawan@example.com,"Kesenian, Hiburan Dan Rekreasi",2021-06-06,4,diskon,17,Group,45900000.0,5,social media,positif,bagus,85,21,85,4,Ya,5,Finance Series,B0523,Finance Series,International Banking Facility,Ibun,16,6000000,55,Cash Flow & Credit Management,International Banking Facility
523,P0524,PD Hidayanto Samosir,Jaya Hutagalung,"Gang Lembong No. 1
Metro, Kalimantan Timur 56361",+62-96-576-5248,marsudizulkarnain@example.net,Real Estat,2021-06-07,4,diskon,11,Group,35200000.0,4,social media,positif,buruk,60,19,65,3,Ya,3,Credit & Collection Series,B0524,Credit & Collection Series,Managing Corporate Collection,Ibun,14,4000000,20,Professional Debt Collection Skills,Managing Corporate Collection
524,P0525,Perum Hassanah Nababan,Adika Permata,"Jalan H.J Maemunah No. 5
Padangpanjang, Kalimantan Tengah 30523",+62 (0279) 939 7712,dmayasari@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-06-08,4,diskon,17,Group,65450000.0,4,social media,positif,bagus,85,25,85,5,Ya,5,Sales & Marketing Series,B0525,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,45,Professional Selling Skills,Sales Forecasting: for Sales Target Results
525,P0526,UD Wijayanti,Wasis Hidayanto,"Gg. Cihampelas No. 9
Pekalongan, Nusa Tenggara Barat 20345",+62-15-776-1589,gangsa96@example.org,Aktivitas Keuangan dan Asuransi,2021-06-09,5,diskon,17,Group,53550000.0,5,social media,positif,bagus,80,24,90,5,Ya,5,Finance Series,B0526,Finance Series,International Banking Facility,Ibun,17,7000000,55,Finance for Non Finance Executive,International Banking Facility
526,P0527,PD Wibisono Mansur (Persero) Tbk,Tina Zulkarnain,"Jalan Stasiun Wonokromo No. 33
Bau-Bau, KS 35543",+62 (73) 858 2284,tsihombing@example.org,"Pertanian, Kehutanan dan Perikanan",2021-06-10,4,diskon,8,Group,44800000.0,4,social media,positif,bagus,75,19,70,4,Ya,4,Other Series,B0527,Other Series,Health And Safety Environment,Ibun,14,7000000,20,Customer Service Excellence For Basic and Frontliner,Health And Safety Environment
527,P0528,CV Rahimah Handayani,"Cut Ratna Mandasari, S.Pd","Jl. Rajawali Barat No. 62
Pangkalpinang, DKI Jakarta 02980",+62-411-900-9657,kasiyah97@example.org,Pengangkutan dan Pergudangan,2021-06-11,5,diskon,19,Group,45600000.0,5,social media,positif,bagus,80,24,85,5,Ya,5,Sales & Marketing Series,B0528,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,14,4000000,40,Professional Selling Skills,Sales Forecasting: for Sales Target Results
528,P0529,PD Wahyudin Tbk,Cemplunk Laksita,"Jalan Jend. A. Yani No. 869
Padang Sidempuan, Jawa Timur 20350",(0001) 438-5226,imam47@example.net,Pertambangan dan Penggalian,2021-06-12,2,bulan,1,Retail,5000000.0,1,email,negatif,buruk,25,5,20,2,Tidak,2,Office & Administration Series,B0529,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,8,5000000,0,Secretary Development Program,Interactive Dashboard with Microsoft Excel
529,P0530,UD Suartini Waluyo,Saadat Firgantoro,"Jl. Ahmad Yani No. 837
Purwokerto, DI Yogyakarta 11458",0879278304,warji96@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2021-06-13,4,diskon,20,Group,60000000.0,5,social media,positif,bagus,90,25,90,4,Ya,5,Office & Administration Series,B0530,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,16,5000000,40,Manajemen Filling & Tata Kelola Kantor,Interactive Dashboard with Microsoft Excel
530,P0531,UD Mandasari Budiman,"Tgk. Mulyanto Marpaung, S.Pt","Gg. Jamika No. 11
Denpasar, Banten 57501",+62 (90) 593 9853,taliamaulana@example.org,Aktivitas Keuangan dan Asuransi,2021-06-14,5,diskon,13,Group,15600000.0,5,social media,positif,bagus,80,25,80,5,Ya,5,Credit & Collection Series,B0531,Credit & Collection Series,Managing Corporate Collection,Ibun,15,2000000,40,Professional Debt Collection Skills,Managing Corporate Collection
531,P0532,UD Wasita (Persero) Tbk,"Cahyo Lailasari, S.Pd","Gg. Rumah Sakit No. 8
Salatiga, SR 23045",087 879 2079,zulaikaniyaga@example.org,Pendidikan,2021-06-15,3,diskon,7,Group,49000000.0,4,social media,positif,buruk,65,16,70,4,Ya,4,Training Series,B0532,Training Series,Comprehensive Train The Trainers,Haris,14,10000000,30,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
532,P0533,CV Siregar Prastuti,Among Purwanti,"Jalan Pasirkoja No. 954
Pekalongan, Jawa Barat 70409",(0952) 292 0920,vmaheswara@example.net,Konstruksi,2021-06-16,4,peristiwa khusus,9,Group,74250000.0,4,phone,positif,bagus,75,16,75,4,Ya,3,HR Series,B0533,HR Series,Build A Great and Strong Corporate Culture,Reza,14,11000000,25,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
533,P0534,CV Waskita Uwais,Dinda Saptono,"Jl. Ahmad Yani No. 75
Bau-Bau, Kepulauan Riau 98945",+62 (0800) 270 6786,putiyulianti@example.org,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-06-17,5,diskon,19,Group,79800000.0,5,social media,positif,bagus,80,27,80,5,Ya,5,Sales & Marketing Series,B0534,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,40,Professional Selling Skills,Sales Forecasting: for Sales Target Results
534,P0535,PT Nashiruddin (Persero) Tbk,Timbul Pudjiastuti,"Jalan Cikutra Barat No. 908
Padang Sidempuan, Nusa Tenggara Barat 99239",+62-0861-287-8620,umahendra@example.net,Pendidikan,2021-06-18,2,hari spesifik,1,Retail,5000000.0,2,email,negatif,buruk,20,8,25,1,Tidak,2,Training Series,B0535,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,8,5000000,0,Drill for Trainers: Mastering 10 Core Trainer's Tools,Train The Trainer For Outbond (Indoor-outdoor) Activity
535,P0536,CV Winarno Uyainah (Persero) Tbk,KH. Bakianto Irawan,"Gg. Erlangga No. 34
Balikpapan, DI Yogyakarta 79952",(047) 848 6825,latuponomargana@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2021-06-19,4,diskon,8,Group,38400000.0,3,phone,positif,bagus,60,18,60,4,Ya,4,Office & Administration Series,B0536,Office & Administration Series,Interactive Dashboard with Microsoft Excel,Iqbal,14,6000000,20,Manajemen Filling & Tata Kelola Kantor,Interactive Dashboard with Microsoft Excel
536,P0537,PT Maryati Tbk,Zelda Latupono,"Jl. Medokan Ayu No. 83
Sorong, Lampung 53310",0844062772,among87@example.org,Pendidikan,2021-06-20,3,diskon,11,Group,70400000.0,3,email,positif,bagus,60,18,70,4,Ya,4,Training Series,B0537,Training Series,Comprehensive Train The Trainers,Haris,12,8000000,20,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
537,P0538,UD Hidayanto Sihombing,Dasa Salahudin,"Jl. Waringin No. 836
Sabang, Sumatera Barat 63698",0878983599,mprayoga@example.com,Pendidikan,2021-06-21,2,bulan,4,Retail,30400000.0,2,phone,netral,buruk,55,10,50,2,Tidak,3,Training Series,B0538,Training Series,Comprehensive Train The Trainers,Haris,9,8000000,5,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
538,P0539,PT Susanti Utami,"Alambana Yolanda, M.M.","Jalan Merdeka No. 010
Gorontalo, SR 78785",+62 (426) 203 1949,iswahyudixanana@example.net,Pertambangan dan Penggalian,2021-06-22,4,peristiwa khusus,10,Group,64000000.0,4,social media,positif,bagus,65,16,60,3,Ya,4,Leadership & Managerial Series,B0539,Leadership & Managerial Series,Analis Data dan Penampilannya bagi Presentase Manajemen,Ibun,12,8000000,20,Effective Time & Activity Management,Analis Data dan Penampilannya bagi Presentase Manajemen
539,P0540,Perum Purnawati Wasita Tbk,"Damu Dabukke, M.Pd","Gang Soekarno Hatta No. 0
Metro, Kalimantan Barat 02838",+62 (820) 800-1424,yusuf75@example.org,Aktivitas Keuangan dan Asuransi,2021-06-23,4,diskon,9,Group,23400000.0,3,social media,positif,bagus,60,19,65,4,Ya,4,Credit & Collection Series,B0540,Credit & Collection Series,Managing Corporate Collection,Ibun,14,4000000,35,Professional Debt Collection Skills,Managing Corporate Collection
540,P0541,PD Puspita Susanti,"Irsad Hutapea, S.T.","Jalan Kebonjati No. 68
Gorontalo, LA 32115",(089) 594 8308,gpradana@example.net,Pengangkutan dan Pergudangan,2021-06-24,2,bulan,4,Retail,41800000.0,3,phone,netral,sedang,55,13,50,3,Tidak,2,HR Series,B0541,HR Series,Build A Great and Strong Corporate Culture,Reza,11,11000000,5,Planning and organizing for stellar performance,Build A Great and Strong Corporate Culture
541,P0542,CV Sirait Tbk,Karen Mulyani,"Jl. Otto Iskandardinata No. 541
Malang, Sulawesi Tengah 32747",+62 (84) 686-8111,nurdiyanticitra@example.com,Informasi Dan Komunikasi,2021-06-25,4,diskon,18,Group,81000000.0,4,social media,positif,bagus,80,29,80,5,Ya,5,Training Series,B0542,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,55,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
542,P0543,CV Sihombing,"Titin Usada, M.Pd","Gg. Jend. A. Yani No. 17
Dumai, RI 50690",+62 (017) 193 2077,wahyudinsurya@example.net,"Aktivitas Profesional, Ilmiah Dan Teknis",2021-06-26,5,peristiwa khusus,12,Group,72000000.0,4,social media,positif,bagus,80,25,85,5,Ya,5,Training Series,B0543,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,40,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
543,P0544,PT Damanik Hariyah (Persero) Tbk,Arta Maulana,"Jl. Jayawijaya No. 12
Pagaralam, Jawa Tengah 43030",0852819354,rahimahrahmat@example.net,"Kesenian, Hiburan Dan Rekreasi",2021-06-27,2,bulan,1,Retail,4000000.0,1,email,negatif,buruk,20,9,30,2,Tidak,1,Training Series,B0544,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,7,4000000,0,Drill for Trainers: Mastering 10 Core Trainer's Tools,Train The Trainer For Outbond (Indoor-outdoor) Activity
544,P0545,CV Farida,"Juli Pratama, S.Ked","Jl. Kebonjati No. 08
Pekalongan, Sulawesi Utara 49807",(006) 372 1223,dyuliarti@example.com,Aktivitas Jasa Lainnya,2021-06-28,3,diskon,5,Retail,29750000.0,2,phone,netral,sedang,40,11,40,2,Tidak,3,Sales & Marketing Series,B0545,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,11,7000000,15,Professional Selling Skills,Sales Forecasting: for Sales Target Results
545,P0546,PT Mustofa Ramadan Tbk,"Sutan Ega Wahyuni, S.Gz","Jalan Jend. A. Yani No. 4
Banjar, Sulawesi Tenggara 86838",+62-0138-896-0984,betaniamanullang@example.net,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-06-29,4,peristiwa khusus,16,Group,56000000.0,4,social media,positif,bagus,90,28,90,5,Ya,5,Sales & Marketing Series,B0546,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,17,7000000,50,Health And Safety Environment,Sales Forecasting: for Sales Target Results
546,P0547,PT Mandala Tbk,dr. Darmanto Januar,"Jl. Raya Setiabudhi No. 766
Tual, Kalimantan Utara 43344",+62-40-490-7121,dodowinarsih@example.com,Konstruksi,2021-06-30,4,diskon,9,Group,79200000.0,4,social media,positif,bagus,65,18,60,4,Ya,4,HR Series,B0547,HR Series,Build A Great and Strong Corporate Culture,Reza,14,11000000,20,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
547,P0548,Perum Sirait Jailani,Tari Wulandari,"Gg. Joyoboyo No. 86
Tanjungpinang, Kalimantan Selatan 32153",0801694692,ksiregar@example.org,Pendidikan,2021-07-01,2,bulan,3,Retail,17100000.0,2,phone,netral,sedang,50,10,50,3,Tidak,3,Training Series,B0548,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,11,6000000,5,Comprehensive Train The Trainers,Train The Trainer For Outbond (Indoor-outdoor) Activity
548,P0549,Perum Riyanti Hutagalung,"Tami Pertiwi, S.Farm","Jl. Ronggowarsito No. 0
Manado, SB 39632",(0809) 047-6758,suryausamah@example.net,Pendidikan,2021-07-02,2,bulan,2,Retail,18000000.0,2,email,negatif,buruk,25,7,35,2,Tidak,2,Training Series,B0549,Training Series,Comprehensive Train The Trainers,Haris,8,9000000,0,Drill for Trainers: Mastering 10 Core Trainer's Tools,Comprehensive Train The Trainers
549,P0550,PD Wibisono Fujiati Tbk,Eka Hariyah,"Gg. M.T Haryono No. 48
Kotamobagu, KU 02503",+62 (075) 731 6372,paulinusamah@example.org,"Pertanian, Kehutanan dan Perikanan",2021-07-03,5,diskon,19,Group,79800000.0,4,social media,positif,bagus,90,29,90,5,Ya,5,Other Series,B0550,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
550,P0551,CV Tampubolon (Persero) Tbk,Edison Utama,"Gg. PHH. Mustofa No. 0
Kota Administrasi Jakarta Barat, RI 11625",+62-08-464-2823,maya73@example.com,"Kesenian, Hiburan Dan Rekreasi",2021-07-04,3,bulan,5,Retail,27000000.0,3,email,netral,sedang,40,11,55,3,Tidak,3,Training Series,B0551,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Haris,11,6000000,10,Comprehensive Train The Trainers,Train The Trainer For Outbond (Indoor-outdoor) Activity
551,P0552,CV Mangunsong Firmansyah (Persero) Tbk,Tri Tarihoran,"Gg. Astana Anyar No. 8
Kediri, Kepulauan Riau 65321",084 951 4976,qsitumorang@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-07-05,4,diskon,10,Group,48000000.0,3,social media,positif,bagus,60,15,75,4,Ya,4,Credit & Collection Series,B0552,Credit & Collection Series,Professional Debt Collection Skills,Ibun,11,6000000,20,Managing Corporate Collection,Professional Debt Collection Skills
552,P0553,PT Habibi Budiyanto Tbk,Lutfan Winarsih,"Jl. Kutai No. 970
Bontang, SU 37795",(009) 265-0076,zsitorus@example.org,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2021-07-06,4,diskon,8,Group,42000000.0,4,email,positif,sedang,65,16,70,4,Ya,4,Sales & Marketing Series,B0553,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,14,7000000,25,Professional Selling Skills,Sales Forecasting: for Sales Target Results
553,P0554,CV Zulkarnain Tbk,"Salimah Sitompul, M.Kom.","Jalan KH Amin Jasuta No. 9
Parepare, BT 63831",+62 (0556) 262 2483,sihombingindra@example.com,Pertambangan dan Penggalian,2021-07-07,3,diskon,11,Group,90750000.0,4,social media,positif,bagus,65,18,60,3,Ya,4,Office & Administration Series,B0554,Office & Administration Series,Manajemen Filling & Tata Kelola Kantor,Iqbal,14,11000000,25,Interactive Dashboard with Microsoft Excel,Manajemen Filling & Tata Kelola Kantor
554,P0555,CV Maryati,Gading Utama,"Gang Rajawali Timur No. 6
Sukabumi, KB 24333",(0543) 093 9834,jpadmasari@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-07-08,2,diskon,3,Retail,19950000.0,3,email,netral,sedang,50,12,50,2,Tidak,3,Sales & Marketing Series,B0555,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,11,7000000,5,Marketing Research For Business Using SPSS,Sales Forecasting: for Sales Target Results
555,P0556,CV Napitupulu (Persero) Tbk,Asirwada Utami,"Jalan Dr. Djunjunan No. 4
Yogyakarta, SU 73318",+62-0814-051-3300,zmaryadi@example.net,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-07-09,4,musiman,9,Group,79200000.0,4,social media,positif,bagus,65,17,70,4,Ya,3,Finance Series,B0556,Finance Series,Cash Flow & Credit Management,Alam,14,11000000,20,International Banking Facility,Cash Flow & Credit Management
556,P0557,Perum Dongoran Siregar,Kamila Aryani,"Jalan Jayawijaya No. 27
Tidore Kepulauan, Nusa Tenggara Timur 93271",(0669) 974 1798,oktavianikasim@example.com,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2021-07-10,2,hari spesifik,4,Retail,25200000.0,3,phone,netral,sedang,45,13,40,3,Tidak,3,Sales & Marketing Series,B0557,Sales & Marketing Series,Sales Forecasting: for Sales Target Results,Rian,11,7000000,10,Professional Selling Skills,Sales Forecasting: for Sales Target Results
557,P0558,CV Hardiansyah Mansur,"R.M. Rafi Latupono, S.I.Kom","Gg. W.R. Supratman No. 2
Tanjungpinang, Jawa Barat 80771",+62-210-579-9481,cengkir55@example.com,"Kesenian, Hiburan Dan Rekreasi",2021-07-11,5,diskon,13,Group,71500000.0,5,social media,positif,bagus,80,29,90,4,Ya,5,Training Series,B0558,Training Series,Comprehensive Train The Trainers,Haris,17,10000000,45,Train The Trainer For Outbond (Indoor-outdoor) Activity,Comprehensive Train The Trainers
558,P0559,CV Hakim,"drg. Novi Dabukke, M.Farm","Gg. Pasirkoja No. 0
Sibolga, PB 46210",+62 (69) 226-3259,virawan@example.org,"Pertanian, Kehutanan dan Perikanan",2021-07-12,2,bulan,3,Retail,14250000.0,3,phone,netral,sedang,50,10,40,3,Tidak,3,Other Series,B0559,Other Series,Information Security Awareness,Ibun,11,5000000,5,Health And Safety Environment,Information Security Awareness
559,P0560,UD Narpati Palastri,"Rudi Saputra, S.Psi","Gang Cempaka No. 25
Purwokerto, Sulawesi Selatan 13277",+62 (062) 092 1894,putupradana@example.net,Pengangkutan dan Pergudangan,2021-07-13,2,bulan,5,Retail,52250000.0,3,phone,netral,sedang,55,14,50,3,Tidak,3,HR Series,B0560,HR Series,People (HR) Analytics: For HR & Non HR Professional,Reza,11,11000000,5,Planning and organizing for stellar performance,People (HR) Analytics: For HR & Non HR Professional
560,P0561,PT Pratiwi Nugroho (Persero) Tbk,Reza Nugroho,"Jl. Antapani Lama No. 7
Binjai, YO 61854",+62-139-270-3922,nasyiahkuncara@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-07-14,5,diskon,19,Group,104500000.0,5,social media,positif,bagus,90,29,85,5,Ya,5,HR Series,B0561,HR Series,Build A Great and Strong Corporate Culture,Reza,17,11000000,50,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
561,P0562,CV Sitorus Tbk,"Putri Purnawati, S.T.","Gg. Ir. H. Djuanda No. 58
Dumai, Jawa Barat 47684",+62 (069) 187-0657,mulyanashiruddin@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-07-15,3,hari spesifik,4,Retail,26600000.0,2,phone,netral,buruk,50,10,45,3,Tidak,3,Finance Series,B0562,Finance Series,International Banking Facility,Ibun,11,7000000,5,Finance for Non Finance Executive,International Banking Facility
562,P0563,UD Maulana Kuswandari Tbk,Budi Salahudin,"Jl. Merdeka No. 88
Bandung, Kalimantan Tengah 51240",+62 (56) 440 5562,wacanagalar@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-07-16,3,hari spesifik,6,Retail,37800000.0,3,phone,netral,sedang,40,10,45,3,Tidak,2,Credit & Collection Series,B0563,Credit & Collection Series,Professional Debt Collection Skills,Ibun,9,7000000,10,Managing Corporate Collection,Professional Debt Collection Skills
563,P0564,PD Hakim (Persero) Tbk,Dr. Titi Prasetya,"Gang Kiaracondong No. 1
Palu, BA 04607",+62 (79) 838 7771,lananghandayani@example.net,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2021-07-17,4,peristiwa khusus,15,Group,63000000.0,5,social media,positif,bagus,90,29,80,4,Ya,5,Other Series,B0564,Other Series,Health And Safety Environment,Ibun,17,7000000,40,Information Security Awareness,Health And Safety Environment
564,P0565,Perum Nurdiyanti Tbk,Ozy Budiyanto,"Jl. Suniaraja No. 683
Bandung, KB 92439",+62 (31) 820 1708,olga94@example.com,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2021-07-18,2,bulan,2,Retail,10000000.0,2,email,negatif,buruk,25,5,35,1,Tidak,1,Training Series,B0565,Training Series,Train The Trainer For Outbond (Indoor-outdoor) Activity,Alam,8,5000000,0,Drill for Trainers: Mastering 10 Core Trainer's Tools,Train The Trainer For Outbond (Indoor-outdoor) Activity
565,P0566,PD Kusmawati Tbk,"R. Paris Kusumo, M.TI.","Jalan Medokan Ayu No. 4
Pangkalpinang, Kalimantan Tengah 21082",+62 (80) 813 0799,euwais@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-07-19,3,peristiwa khusus,8,Group,64000000.0,3,social media,positif,buruk,60,16,65,4,Ya,3,HR Series,B0566,HR Series,Build A Great and Strong Corporate Culture,Reza,13,10000000,20,People (HR) Analytics: For HR & Non HR Professional,Build A Great and Strong Corporate Culture
