sales_ID,sales_name,sales_email,sales_phone
S0189,"T. Galih Uyainah, S.Pt",irawankusuma@hotmail.com,+62-0976-796-7499
S0018,Gandi Pertiwi,balidinmaheswara@gmail.com,+62 (094) 098 3803
S0297,Julia Sihombing,eriksusanti@gmail.com,+62-712-223-5445
S0179,Hj. Rina Rahimah,ilsabudiyanto@hotmail.com,+62 (27) 692-4596
S0495,"Shakila Haryanti, S.Farm",thamrinana@hotmail.com,(0011) 553-3552
S0480,"Drs. Novi Situmorang, M.TI.",smaulana@yahoo.com,+62 (066) 931 4307
S0412,Vanya Kusmawati,dongoranbudi@gmail.com,(052) 486 1107
S0227,KH. Asman Prabowo,fyuliarti@hotmail.com,+62-25-047-1127
S0492,Cemeti Widodo,diah56@hotmail.com,+62 (0026) 572 1310
S0397,drg. Harto Irawan,ihsanmulyani@yahoo.com,+62 (0332) 958-0237
S0234,Patricia Mahendra,solehjanuar@gmail.com,+62 (044) 924-8591
S0319,Hj. Kania Mustofa,hasanahprasetya@yahoo.com,+62 (0067) 447-2629
S0033,"Nrima Safitri, S.Kom",kambali74@gmail.com,+62-37-625-5772
S0398,Rika Tarihoran,jailanijaeman@yahoo.com,+62 (66) 931 2579
S0465,Sari Nashiruddin,pradanalantar@yahoo.com,+62 (099) 971-4730
S0164,"KH. Elvin Hardiansyah, S.Kom",yunita53@yahoo.com,0806673419
S0349,Balijan Waskita,hani76@yahoo.com,+62 (040) 865 6713
S0182,Darimin Kuswoyo,elvina63@gmail.com,+62 (160) 259-5531
S0137,Kuncara Haryanti,betaniathamrin@yahoo.com,+62 (58) 967 6827
S0107,"Yani Pranowo, S.Kom",prabowo05@gmail.com,+62 (008) 519-1560
S0089,Dariati Maheswara,galuhnatsir@yahoo.com,(030) 217 4217
S0261,Gina Mandasari,agus60@hotmail.com,+62 (0860) 997-0591
S0054,"H. Bagiya Hutasoit, S.T.",bwastuti@yahoo.com,+62 (66) 819 0925
S0353,dr. Calista Rahmawati,harsana79@gmail.com,(034) 561-5188
S0402,"R. Bella Maulana, M.TI.",aryaniibrani@yahoo.com,+62 (024) 355-8841
S0161,Gatra Wijayanti,malik58@gmail.com,+62 (0147) 279 6603
S0096,Hari Sudiati,gmelani@hotmail.com,(087) 643 2521
S0372,"T. Hardi Rajata, S.Sos",ramadanluis@gmail.com,+62 (081) 746-6499
S0432,Hasna Hutagalung,kanipertiwi@yahoo.com,089 237 8801
S0298,"Cinthia Sinaga, S.Psi",calistaprasetyo@hotmail.com,+62 (018) 090-6366
S0399,Arta Wahyudin,alikapurnawati@gmail.com,+62 (083) 995-1328
S0380,Reksa Sihotang,alambana58@gmail.com,+62 (23) 478-2917
S0094,"Shania Budiman, S.Ked",ganjaransafitri@gmail.com,+62 (80) 892 5054
S0148,Maida Pradana,ubudiyanto@yahoo.com,(011) 890 9147
S0130,"Ilsa Megantara, M.Ak",jailanihilda@gmail.com,+62 (74) 936 2783
S0419,"Drs. Safina Sudiati, S.Kom",qkurniawan@gmail.com,+62-0025-033-3072
S0229,Sutan Tasdik Hardiansyah,lantar35@gmail.com,+62 (0655) 073-5256
S0425,Mulya Sihombing,tirtayasawaskita@hotmail.com,(026) 950 6600
S0461,R.A. Hesti Zulkarnain,harjoprasetya@hotmail.com,+62 (552) 200-9956
S0067,Irwan Hutagalung,donosetiawan@yahoo.com,+62-076-906-4745
S0268,Siska Maheswara,mharyanti@hotmail.com,+62 (93) 893 4273
S0250,Ida Purwanti,novi63@gmail.com,+62 (0313) 255 5393
S0456,Almira Permata,dprabowo@hotmail.com,(0748) 953-0551
S0009,"Hasna Salahudin, S.T.",pramadan@yahoo.com,(056) 243 9221
S0321,Hilda Prakasa,afarida@yahoo.com,081 815 5238
S0364,Tantri Prasetyo,ssamosir@yahoo.com,+62 (852) 403-1304
S0268,Siska Maheswara,mharyanti@hotmail.com,+62 (93) 893 4273
S0005,"Okta Purnawati, S.Farm",wasitacandra@hotmail.com,+62 (027) 997 6053
S0379,Marwata Wibisono,karyasitumorang@gmail.com,084 462 7117
S0193,Edward Hidayat,tugiman34@hotmail.com,(081) 901-2599
S0317,Jaeman Ramadan,pangestubakiman@gmail.com,+62 (060) 060 1083
S0490,"H. Candra Puspita, S.Sos",yuliantijagapati@gmail.com,+62 (80) 428 4135
S0416,Jarwi Saefullah,hesti55@hotmail.com,(062) 158 5644
S0079,Zahra Wahyuni,cakrawala52@gmail.com,+62 (41) 580 0138
S0455,"Dr. Mahfud Agustina, S.Pd",dewi06@gmail.com,+62-847-801-5153
S0247,Balijan Ramadan,qhakim@yahoo.com,0859959241
S0237,Febi Rahayu,elmairawan@hotmail.com,0866609353
S0007,"Jessica Wacana, S.I.Kom",kayla75@hotmail.com,+62 (45) 051-1767
S0060,Ratna Hartati,permadicawisono@gmail.com,+62 (072) 545-6007
S0246,Luluh Wulandari,jprastuti@hotmail.com,(0498) 126 7856
S0389,Fathonah Adriansyah,pradiptakamal@gmail.com,+62 (910) 456 0494
S0391,Mutia Permadi,namagasurya@hotmail.com,0862845244
S0324,Cut Ina Widodo,panca47@yahoo.com,+62-008-115-5690
S0014,Ciaobella Habibi,vpalastri@gmail.com,+62-116-509-1336
S0406,"R. Padmi Prabowo, S.Gz",kurnia44@yahoo.com,+62 (0092) 765-9321
S0066,Artawan Nasyiah,isantoso@yahoo.com,+62-046-628-6945
S0318,Kasiyah Aryani,radenpuspita@yahoo.com,(041) 692-3758
S0224,"Cinthia Pradana, S.Sos",waluyogalak@hotmail.com,0874844251
S0378,T. Kariman Sihotang,nyomansafitri@yahoo.com,(0810) 635 4511
S0231,Ajeng Puspita,kezia15@gmail.com,+62 (0063) 100-5647
S0350,Paramita Hasanah,primaramadan@yahoo.com,+62-342-518-6598
S0302,Tgk. Hesti Lazuardi,usyinurdiyanti@hotmail.com,086 860 7877
S0062,"Hj. Ana Mansur, S.T.",zlestari@gmail.com,(0070) 544-8744
S0365,Heru Haryanti,suryatmidanang@hotmail.com,+62 (007) 644 5319
S0021,"Cut Clara Rahimah, S.T.",purwantidasa@hotmail.com,+62 (01) 717-4410
S0226,Cut Calista Permata,liliharyanto@hotmail.com,+62 (0421) 389-0689
S0455,"Dr. Mahfud Agustina, S.Pd",dewi06@gmail.com,+62-847-801-5153
S0020,Aslijan Rahimah,satya71@gmail.com,(056) 192-3226
S0230,Silvia Hasanah,corneliasuryono@hotmail.com,+62-031-941-6315
S0093,R. Tantri Wasita,victoriakuswandari@hotmail.com,+62 (079) 960 5643
S0232,Tomi Nainggolan,suartinikasiran@hotmail.com,+62 (946) 782-6620
S0481,Mila Gunawan,cagak44@hotmail.com,+62-061-625-1898
S0310,"Nadia Simbolon, M.Pd",ksimbolon@yahoo.com,+62 (545) 511-0486
S0432,Hasna Hutagalung,kanipertiwi@yahoo.com,089 237 8801
S0191,Yulia Simanjuntak,pertiwirusman@gmail.com,+62 (034) 792-6564
S0440,"Drs. Ira Sihombing, S.H.",oliva56@yahoo.com,(093) 117 1566
S0197,"Wulan Halimah, S.Pt",cindy19@hotmail.com,+62 (0350) 257 6522
S0162,Lintang Rajasa,cagak13@hotmail.com,+62-381-845-6086
S0306,Tgk. Ami Nasyidah,kusmawatiamalia@hotmail.com,+62-013-256-3262
S0066,Artawan Nasyiah,isantoso@yahoo.com,+62-046-628-6945
S0067,Irwan Hutagalung,donosetiawan@yahoo.com,+62-076-906-4745
S0285,H. Artawan Riyanti,asirwanda60@gmail.com,086 410 9991
S0346,Galak Mansur,mustofawulandari@gmail.com,(0558) 805 7597
S0283,Raisa Mardhiyah,enainggolan@hotmail.com,+62 (0616) 840 5728
S0326,Tgk. Gandi Lailasari,ina59@hotmail.com,(054) 288-0879
S0256,Tgk. Arsipatra Wahyudin,hafshahmanullang@hotmail.com,(011) 436 5487
S0257,Zizi Firgantoro,lasmonomegantara@yahoo.com,+62 (0321) 463-5351
S0077,"Rafi Hutagalung, S.E.I",ltarihoran@hotmail.com,+62 (0960) 764-5834
S0189,"T. Galih Uyainah, S.Pt",irawankusuma@hotmail.com,+62-0976-796-7499
S0334,"drg. Gangsar Maheswara, S.Psi",twaluyo@gmail.com,+62-0339-395-4358
S0057,Bahuwirya Astuti,kajen01@hotmail.com,+62 (0311) 014-9652
S0102,Irnanto Wahyudin,bmegantara@hotmail.com,085 426 1569
S0160,Ozy Budiyanto,napitupulukasim@gmail.com,+62-002-388-9548
S0272,Dr. Cemeti Wibowo,hardanahidayat@hotmail.com,(0954) 089 6815
S0444,Vivi Puspasari,karsamandasari@gmail.com,0835070326
S0244,R.M. Ismail Nainggolan,zulaikaparis@yahoo.com,+62 (0281) 698 1027
S0230,Silvia Hasanah,corneliasuryono@hotmail.com,+62-031-941-6315
S0362,Paris Anggriawan,dongoransarah@gmail.com,+62 (081) 387 6047
S0374,Ira Nababan,jprasetya@gmail.com,0814695999
S0308,"Dariati Laksmiwati, S.H.",namagaharto@hotmail.com,+62 (603) 571 1302
S0002,"Jelita Irawan, S.Ked",agnessaputra@yahoo.com,(0711) 678 9718
S0447,"Ir. Zelaya Tampubolon, M.TI.",mardhiyahfathonah@gmail.com,(0969) 962-9219
S0160,Ozy Budiyanto,napitupulukasim@gmail.com,+62-002-388-9548
S0199,Taufik Latupono,suryonoella@hotmail.com,+62 (0800) 497-0978
S0427,"Puti Nadia Anggraini, S.Pt",mahendraelvina@yahoo.com,(050) 466-5910
S0381,Putri Tarihoran,ukuswoyo@yahoo.com,+62 (077) 857-0661
S0061,"Karimah Putra, S.E.",malika08@gmail.com,(016) 433-2412
S0155,Galur Maryati,sitompuldwi@yahoo.com,(0284) 194-4574
S0139,Dr. Elvina Haryanti,mujur78@yahoo.com,+62 (059) 530-3784
S0449,"Widya Lazuardi, S.Farm",tyuniar@yahoo.com,(022) 980-1204
S0274,Budi Maulana,salahudinjaswadi@gmail.com,+62 (0869) 628-4884
S0180,Dr. Lurhur Nugroho,hasta68@hotmail.com,(009) 653-8402
S0040,"H. Limar Hardiansyah, M.M.",suartiniradika@yahoo.com,+62 (074) 986-9978
S0113,Jamalia Nababan,lwinarno@gmail.com,(0638) 949-6567
S0406,"R. Padmi Prabowo, S.Gz",kurnia44@yahoo.com,+62 (0092) 765-9321
S0363,Nurul Agustina,megantaraemin@hotmail.com,+62 (0519) 239 9375
S0431,Mulyanto Saputra,jokosiregar@gmail.com,+62-036-388-6778
S0167,"Wadi Anggriawan, S.Ked",ega42@hotmail.com,+62 (26) 540 9195
S0343,Aisyah Wijayanti,karimah77@gmail.com,+62 (049) 579 4666
S0439,Kunthara Hutasoit,winarsihmulya@hotmail.com,0887814001
S0192,Mahmud Kuswandari,bprakasa@gmail.com,+62 (0408) 894 9182
S0073,Jaya Budiman,rahmi07@hotmail.com,0867436260
S0345,drg. Hendra Susanti,sinaganaradi@gmail.com,+62-49-201-6955
S0013,Upik Anggraini,sprakasa@yahoo.com,+62 (69) 724-9862
S0190,"Sadina Megantara, S.Psi",pia81@yahoo.com,+62 (708) 059-9671
S0450,Silvia Ramadan,omayasari@gmail.com,+62 (065) 907 6157
S0140,Cagak Halim,atma14@hotmail.com,+62 (0959) 104 2123
S0046,Jefri Nasyidah,leo04@hotmail.com,+62-085-367-1383
S0162,Lintang Rajasa,cagak13@hotmail.com,+62-381-845-6086
S0412,Vanya Kusmawati,dongoranbudi@gmail.com,(052) 486 1107
S0491,Prasetya Farida,piatamba@yahoo.com,+62-0781-319-6851
S0279,"Cut Jelita Lazuardi, S.I.Kom",ohutagalung@gmail.com,+62 (0883) 087 0561
S0239,Rina Kurniawan,owastuti@hotmail.com,(001) 357 4744
S0459,Yahya Permata,nurulpratiwi@hotmail.com,+62-440-408-0837
S0240,"dr. Oni Lailasari, S.Gz",jokositumorang@yahoo.com,+62-0588-950-7688
S0313,"Safina Kuswandari, S.E.I",zkusumo@yahoo.com,+62-69-346-9006
S0375,Rafid Palastri,tami23@gmail.com,+62 (362) 304 1429
S0336,Upik Wahyuni,alambana80@gmail.com,+62 (509) 744 5434
S0237,Febi Rahayu,elmairawan@hotmail.com,0866609353
S0003,Dr. Yulia Siregar,najmudinerik@hotmail.com,+62 (68) 864-9445
S0489,Viktor Suryono,ichatampubolon@gmail.com,+62 (025) 520 6067
S0311,Citra Salahudin,citramayasari@yahoo.com,(0678) 013-2027
S0360,"Martani Samosir, M.TI.",ysantoso@gmail.com,+62 (573) 506 4335
S0110,drg. Vega Kuswoyo,nashiruddinartawan@gmail.com,+62-03-738-3375
S0357,Unjani Rajata,permadinabila@gmail.com,(014) 996-6578
S0377,"Tgk. Najwa Nainggolan, S.Kom",busamah@gmail.com,+62 (90) 310-7208
S0120,"Ir. Narji Sihombing, S.T.",nadine87@gmail.com,+62 (0199) 067-2518
S0483,Ellis Wibisono,hidayatemin@hotmail.com,+62-09-118-0683
S0267,Prakosa Saragih,astutijaka@gmail.com,+62 (0556) 649-3969
S0423,R.M. Danu Purwanti,nyoman47@yahoo.com,+62 (903) 731 3551
S0014,Ciaobella Habibi,vpalastri@gmail.com,+62-116-509-1336
S0221,Ani Kurniawan,zulaikaraihan@hotmail.com,+62 (0566) 075 4391
S0428,Olga Andriani,cemani13@hotmail.com,+62 (82) 338 8435
S0227,KH. Asman Prabowo,fyuliarti@hotmail.com,+62-25-047-1127
S0128,"Saiful Salahudin, M.Pd",ayu94@hotmail.com,+62 (0682) 957 0440
S0215,Hamima Thamrin,qkuswandari@hotmail.com,+62-09-806-3782
S0173,"Dr. Galih Yulianti, M.TI.",mansuryosef@gmail.com,+62 (713) 699 3602
S0143,"Bakijan Salahudin, M.Pd",padmasarimutia@hotmail.com,+62 (007) 607-3383
S0261,Gina Mandasari,agus60@hotmail.com,+62 (0860) 997-0591
S0290,"R.A. Rika Ramadan, S.Pt",marwataprabowo@hotmail.com,+62-273-130-0036
S0113,Jamalia Nababan,lwinarno@gmail.com,(0638) 949-6567
S0129,Galih Wacana,ajengprakasa@hotmail.com,(034) 260 5875
S0351,Makuta Mayasari,iriana81@yahoo.com,+62 (01) 663 9733
S0014,Ciaobella Habibi,vpalastri@gmail.com,+62-116-509-1336
S0397,drg. Harto Irawan,ihsanmulyani@yahoo.com,+62 (0332) 958-0237
S0285,H. Artawan Riyanti,asirwanda60@gmail.com,086 410 9991
S0009,"Hasna Salahudin, S.T.",pramadan@yahoo.com,(056) 243 9221
S0468,Bahuwirya Prasetyo,pudjiastutiempluk@yahoo.com,+62-91-285-8832
S0104,Carla Susanti,tarihorankawaca@hotmail.com,+62-061-179-7693
S0384,"T. Galuh Saragih, M.Pd",paulin01@hotmail.com,+62 (808) 768 2497
S0397,drg. Harto Irawan,ihsanmulyani@yahoo.com,+62 (0332) 958-0237
S0111,Endah Nurdiyanti,tira16@gmail.com,(025) 974-3930
S0224,"Cinthia Pradana, S.Sos",waluyogalak@hotmail.com,0874844251
S0218,dr. Zulfa Ramadan,limar12@gmail.com,(007) 407-3829
S0429,"KH. Taufik Mahendra, M.M.",sudiatiwani@gmail.com,+62-0767-914-9921
S0056,"drg. Sarah Budiman, S.Ked",pratiwibetania@yahoo.com,+62-788-446-4121
S0093,R. Tantri Wasita,victoriakuswandari@hotmail.com,+62 (079) 960 5643
S0158,"Cut Tira Suryatmi, S.Gz",csiregar@yahoo.com,+62 (52) 302-7504
S0263,Artanto Mayasari,ozyhabibi@gmail.com,(0178) 571-0521
S0166,"Cut Wani Thamrin, S.Pd",heryantomarpaung@yahoo.com,+62 (029) 296-3982
S0365,Heru Haryanti,suryatmidanang@hotmail.com,+62 (007) 644 5319
S0423,R.M. Danu Purwanti,nyoman47@yahoo.com,+62 (903) 731 3551
S0354,Mila Usamah,marsudiaryani@yahoo.com,0879120784
S0371,Cut Amalia Mustofa,jlatupono@yahoo.com,+62 (0077) 836-5095
S0183,Puti Fitriani Usamah,nasyidahbahuraksa@gmail.com,+62 (076) 184-2191
S0148,Maida Pradana,ubudiyanto@yahoo.com,(011) 890 9147
S0318,Kasiyah Aryani,radenpuspita@yahoo.com,(041) 692-3758
S0039,"Viktor Megantara, M.M.",kembawaluyo@yahoo.com,+62-0830-525-4974
S0142,"Ade Zulaika, M.TI.",bpurnawati@yahoo.com,+62 (0773) 886 3758
S0136,Hilda Suryatmi,ayupratiwi@yahoo.com,(0128) 311-2623
S0390,"Upik Astuti, M.Farm",eanggriawan@hotmail.com,0815726569
S0281,Sakura Wijaya,xmaheswara@gmail.com,+62 (83) 914-9550
S0344,"R.M. Jais Andriani, S.Farm",bpangestu@hotmail.com,(0990) 918-2921
S0152,Puti Yessi Susanti,virmanpradana@hotmail.com,+62 (13) 338-1021
S0499,Kamidin Winarsih,kemal05@gmail.com,+62-059-681-5003
S0236,Latika Laksita,bakiadihutapea@yahoo.com,0848061088
S0219,Hilda Ramadan,gaiman02@hotmail.com,+62 (0297) 410 7685
S0259,Hamima Laksita,anastasia93@gmail.com,084 286 3750
S0196,KH. Sidiq Hastuti,jagapati97@gmail.com,+62 (63) 825 2061
S0246,Luluh Wulandari,jprastuti@hotmail.com,(0498) 126 7856
S0377,"Tgk. Najwa Nainggolan, S.Kom",busamah@gmail.com,+62 (90) 310-7208
S0358,R. Wulan Suartini,titin71@gmail.com,+62 (897) 483-9744
S0124,"Baktiadi Waskita, M.M.",jailaniyusuf@gmail.com,081 043 1655
S0209,Faizah Budiyanto,balijan48@hotmail.com,+62-505-189-1720
S0447,"Ir. Zelaya Tampubolon, M.TI.",mardhiyahfathonah@gmail.com,(0969) 962-9219
S0413,Gasti Tarihoran,sihombingclara@gmail.com,+62 (0807) 149 0096
S0440,"Drs. Ira Sihombing, S.H.",oliva56@yahoo.com,(093) 117 1566
S0499,Kamidin Winarsih,kemal05@gmail.com,+62-059-681-5003
S0294,"T. Harimurti Hassanah, S.E.",nyulianti@yahoo.com,089 805 2296
S0100,Alika Mansur,flaksita@yahoo.com,+62-0052-202-2742
S0491,Prasetya Farida,piatamba@yahoo.com,+62-0781-319-6851
S0083,"Jaswadi Mandala, M.TI.",dewi87@hotmail.com,+62 (094) 099-3682
S0210,Pia Suartini,pnajmudin@yahoo.com,082 456 0971
S0454,drg. Unjani Sudiati,brahayu@gmail.com,(000) 657 2824
S0223,Maria Ardianto,nadinerahmawati@yahoo.com,+62-61-955-8279
S0187,"R. Kajen Hartati, M.TI.",ilyas22@yahoo.com,+62-818-858-8932
S0490,"H. Candra Puspita, S.Sos",yuliantijagapati@gmail.com,+62 (80) 428 4135
S0140,Cagak Halim,atma14@hotmail.com,+62 (0959) 104 2123
S0001,Tasnim Fujiati,saragihalika@hotmail.com,+62 (914) 912-3957
S0103,"Mursinin Uwais, M.Ak",marsitohutapea@yahoo.com,+62 (0457) 603 3776
S0254,Zulfa Gunawan,whardiansyah@yahoo.com,+62 (0826) 179 3470
S0259,Hamima Laksita,anastasia93@gmail.com,084 286 3750
S0229,Sutan Tasdik Hardiansyah,lantar35@gmail.com,+62 (0655) 073-5256
S0069,Cawuk Simbolon,mmandala@yahoo.com,+62 (61) 829-5574
S0368,"Kuncara Wibowo, S.H.",uyainahgangsar@hotmail.com,+62 (771) 564-1434
S0161,Gatra Wijayanti,malik58@gmail.com,+62 (0147) 279 6603
S0165,Jasmani Dabukke,baktiono82@yahoo.com,+62 (14) 422 1971
S0381,Putri Tarihoran,ukuswoyo@yahoo.com,+62 (077) 857-0661
S0190,"Sadina Megantara, S.Psi",pia81@yahoo.com,+62 (708) 059-9671
S0304,Ghaliyati Melani,glazuardi@gmail.com,+62-88-503-6392
S0377,"Tgk. Najwa Nainggolan, S.Kom",busamah@gmail.com,+62 (90) 310-7208
S0286,Hafshah Suwarno,novisitumorang@yahoo.com,+62 (832) 719-0570
S0391,Mutia Permadi,namagasurya@hotmail.com,0862845244
S0455,"Dr. Mahfud Agustina, S.Pd",dewi06@gmail.com,+62-847-801-5153
S0145,Gilda Nuraini,dodo56@gmail.com,+62 (010) 542 6338
S0148,Maida Pradana,ubudiyanto@yahoo.com,(011) 890 9147
S0103,"Mursinin Uwais, M.Ak",marsitohutapea@yahoo.com,+62 (0457) 603 3776
S0343,Aisyah Wijayanti,karimah77@gmail.com,+62 (049) 579 4666
S0051,Cut Karimah Andriani,luluhhakim@gmail.com,+62 (0396) 796-6165
S0012,Dariati Kuswandari,sihombingpadmi@yahoo.com,+62-79-656-5578
S0307,Drs. Bagas Prakasa,febi04@yahoo.com,088 867 2865
S0392,Violet Suartini,taswirkusmawati@yahoo.com,(0397) 221-5790
S0156,Tgk. Karimah Saefullah,jyuniar@yahoo.com,088 369 5581
S0082,Devi Dongoran,kamidin87@hotmail.com,+62 (006) 819-7920
S0392,Violet Suartini,taswirkusmawati@yahoo.com,(0397) 221-5790
S0324,Cut Ina Widodo,panca47@yahoo.com,+62-008-115-5690
S0482,Sutan Johan Permata,astutiprayitna@yahoo.com,083 567 7036
S0197,"Wulan Halimah, S.Pt",cindy19@hotmail.com,+62 (0350) 257 6522
S0100,Alika Mansur,flaksita@yahoo.com,+62-0052-202-2742
S0320,"Prakosa Sinaga, M.TI.",pnuraini@gmail.com,+62 (054) 528-4549
S0008,Rika Napitupulu,hlazuardi@gmail.com,(006) 638 4345
S0028,drg. Karya Gunarto,cagaknugroho@gmail.com,+62 (068) 218 4212
S0186,"Edison Maheswara, S.T.",nalar54@hotmail.com,+62-083-081-7215
S0244,R.M. Ismail Nainggolan,zulaikaparis@yahoo.com,+62 (0281) 698 1027
S0320,"Prakosa Sinaga, M.TI.",pnuraini@gmail.com,+62 (054) 528-4549
S0072,"dr. Hani Pratiwi, S.Gz",pangestucindy@hotmail.com,+62-010-001-2642
S0046,Jefri Nasyidah,leo04@hotmail.com,+62-085-367-1383
S0259,Hamima Laksita,anastasia93@gmail.com,084 286 3750
S0354,Mila Usamah,marsudiaryani@yahoo.com,0879120784
S0131,Jessica Simbolon,hutasoitellis@yahoo.com,+62 (68) 778 4176
S0269,Laksana Sitompul,heru91@yahoo.com,(0445) 377-9953
S0227,KH. Asman Prabowo,fyuliarti@hotmail.com,+62-25-047-1127
S0328,Tira Manullang,mahfudhutagalung@yahoo.com,+62 (405) 960-2132
S0206,Melinda Hidayanto,mardhiyahirma@gmail.com,+62-066-477-9439
S0056,"drg. Sarah Budiman, S.Ked",pratiwibetania@yahoo.com,+62-788-446-4121
S0495,"Shakila Haryanti, S.Farm",thamrinana@hotmail.com,(0011) 553-3552
S0316,"Tgk. Carla Prabowo, S.Farm",taufik78@yahoo.com,(0303) 087 1237
S0008,Rika Napitupulu,hlazuardi@gmail.com,(006) 638 4345
S0424,Jefri Nurdiyanti,whutasoit@hotmail.com,+62-102-172-5657
S0298,"Cinthia Sinaga, S.Psi",calistaprasetyo@hotmail.com,+62 (018) 090-6366
S0141,Ibrani Samosir,daliminhidayanto@hotmail.com,+62 (039) 182-6237
S0334,"drg. Gangsar Maheswara, S.Psi",twaluyo@gmail.com,+62-0339-395-4358
S0060,Ratna Hartati,permadicawisono@gmail.com,+62 (072) 545-6007
S0305,Cut Ina Hidayat,mumpuni31@gmail.com,+62 (0563) 512 5563
S0317,Jaeman Ramadan,pangestubakiman@gmail.com,+62 (060) 060 1083
S0167,"Wadi Anggriawan, S.Ked",ega42@hotmail.com,+62 (26) 540 9195
S0038,Caraka Latupono,marasharyanti@gmail.com,(083) 703-2577
S0469,"Sakura Wulandari, S.Psi",rendypuspasari@hotmail.com,+62 (046) 426 7764
S0241,Usman Tampubolon,bakijanwinarsih@hotmail.com,+62-42-249-0643
S0045,dr. Anggabaya Narpati,cdabukke@gmail.com,(0693) 696-4505
S0024,Lala Suryono,nababanqueen@gmail.com,0861740714
S0490,"H. Candra Puspita, S.Sos",yuliantijagapati@gmail.com,+62 (80) 428 4135
S0408,Yuni Najmudin,cahyabudiyanto@hotmail.com,+62-374-793-8190
S0466,Lantar Pranowo,ghani49@gmail.com,+62-0213-303-1390
S0273,Damu Mulyani,usamahlaksana@gmail.com,+62 (002) 192 7841
S0216,Vera Mandala,digdaya16@hotmail.com,+62 (36) 371 8817
S0242,"Maya Prabowo, M.Pd",hfirmansyah@gmail.com,+62-816-557-6725
S0495,"Shakila Haryanti, S.Farm",thamrinana@hotmail.com,(0011) 553-3552
S0041,R. Viman Prasetya,hwibisono@hotmail.com,081 587 6304
S0431,Mulyanto Saputra,jokosiregar@gmail.com,+62-036-388-6778
S0306,Tgk. Ami Nasyidah,kusmawatiamalia@hotmail.com,+62-013-256-3262
S0101,"Cut Malika Namaga, M.Ak",gardianto@gmail.com,+62 (49) 634-2351
S0485,Dt. Dalimin Nababan,vinsen81@gmail.com,080 413 9805
S0463,Jelita Anggriawan,pardi91@gmail.com,+62-158-901-7719
S0125,Jatmiko Anggraini,galar61@yahoo.com,0842297269
S0302,Tgk. Hesti Lazuardi,usyinurdiyanti@hotmail.com,086 860 7877
S0038,Caraka Latupono,marasharyanti@gmail.com,(083) 703-2577
S0054,"H. Bagiya Hutasoit, S.T.",bwastuti@yahoo.com,+62 (66) 819 0925
S0146,Halima Hasanah,atmahutapea@yahoo.com,+62 (699) 452 6141
S0469,"Sakura Wulandari, S.Psi",rendypuspasari@hotmail.com,+62 (046) 426 7764
S0463,Jelita Anggriawan,pardi91@gmail.com,+62-158-901-7719
S0116,Dt. Alambana Damanik,hairyanto75@yahoo.com,088 827 7189
S0475,Rangga Lazuardi,mardianto@gmail.com,0898696673
S0264,Jamalia Riyanti,dindawasita@hotmail.com,(043) 880 2214
S0042,Puji Winarno,paiman11@gmail.com,(007) 298 0625
S0130,"Ilsa Megantara, M.Ak",jailanihilda@gmail.com,+62 (74) 936 2783
S0069,Cawuk Simbolon,mmandala@yahoo.com,+62 (61) 829-5574
S0221,Ani Kurniawan,zulaikaraihan@hotmail.com,+62 (0566) 075 4391
S0495,"Shakila Haryanti, S.Farm",thamrinana@hotmail.com,(0011) 553-3552
S0404,Hafshah Andriani,akarsana00@gmail.com,+62 (48) 653-2175
S0117,Yessi Rahmawati,sriyanti@hotmail.com,(065) 630 2268
S0226,Cut Calista Permata,liliharyanto@hotmail.com,+62 (0421) 389-0689
S0293,Irma Wulandari,windalestari@yahoo.com,+62 (34) 674-8014
S0401,Patricia Usamah,usadacahyadi@hotmail.com,+62-0786-800-9296
S0036,"Harto Lestari, S.Psi",tiramansur@gmail.com,+62 (96) 404-7761
S0300,R.A. Wirda Susanti,kusumoempluk@gmail.com,(051) 093-1830
S0230,Silvia Hasanah,corneliasuryono@hotmail.com,+62-031-941-6315
S0309,Ganep Megantara,oskaryolanda@hotmail.com,+62-065-835-0369
S0200,"R.A. Salimah Napitupulu, S.Pd",kurniapurwanti@hotmail.com,(013) 630-3737
S0392,Violet Suartini,taswirkusmawati@yahoo.com,(0397) 221-5790
S0386,Hafshah Tampubolon,tsantoso@gmail.com,+62 (070) 509-7532
S0102,Irnanto Wahyudin,bmegantara@hotmail.com,085 426 1569
S0120,"Ir. Narji Sihombing, S.T.",nadine87@gmail.com,+62 (0199) 067-2518
S0268,Siska Maheswara,mharyanti@hotmail.com,+62 (93) 893 4273
S0087,Padma Agustina,gatrasitumorang@gmail.com,+62-0730-091-4481
S0462,Luwes Hariyah,victoriauyainah@hotmail.com,+62 (19) 875 1045
S0263,Artanto Mayasari,ozyhabibi@gmail.com,(0178) 571-0521
S0218,dr. Zulfa Ramadan,limar12@gmail.com,(007) 407-3829
S0489,Viktor Suryono,ichatampubolon@gmail.com,+62 (025) 520 6067
S0302,Tgk. Hesti Lazuardi,usyinurdiyanti@hotmail.com,086 860 7877
S0222,Edi Halim,kayunnababan@hotmail.com,+62 (026) 771 5532
S0150,"Dt. Balamantri Siregar, S.Pd",qwastuti@yahoo.com,+62-0156-002-8543
S0393,R.A. Ophelia Andriani,vhakim@hotmail.com,+62 (128) 621 6360
S0325,Yuni Nababan,caraka59@yahoo.com,089 566 0038
