,company_ID,company_name,company_pic,company_address,company_phone,company_email,company_field,transaction_date,level_training_process,purchasing_time_patterns,number_of_participants,group,total_payment,satisfaction,communication_channel,complaints,communication_quality,possibility_of_purchasing_the_same_training,frequency_engagement,brand_sustainability,rating_training,tren_mode_factor,interest_in_discount_program,training_ID,trainer_name,training_total_meetings,training_price,discount_training,training_type,training_name,cross_selling,upselling
629,P0630,Perum Maulana,Raharja Padmasari,"Gg. Lembong No. 5
Kupang, KI 55770",(018) 205-2198,nasyiahpurwa@example.org,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-09-21,5,diskon,4,Group,93000000.0,5,social media,positif,bagus,74,10,1,3,Ya,4,B0630,Rian,8,5000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
630,P0631,Perum Puspasari Utami Tbk,R.A. Hesti Rajata,"Jl. Suryakencana No. 73
Banjarbaru, DKI Jakarta 62521",+62 (0368) 243-4802,snapitupulu@example.com,Pengangkutan dan Pergudangan,2021-09-22,5,diskon,18,Group,93000000.0,5,social media,positif,bagus,74,10,1,5,Ya,5,B0631,Reza,17,11000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
631,P0632,PT Purnawati Aryani Tbk,Paramita Tarihoran,"Gang Gedebage Selatan No. 365
Banda Aceh, JT 26848",(0064) 186-2981,janesusanti@example.org,Pendidikan,2021-09-23,5,diskon,3,Group,110500000.0,5,social media,positif,bagus,73,10,1,2,Ya,4,B0632,Haris,11,6000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
632,P0633,PT Yulianti,Adika Farida,"Gg. Pelajar Pejuang No. 74
Kota Administrasi Jakarta Pusat, Maluku 22929",+62 (020) 308 1605,radikasafitri@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2021-09-24,5,diskon,9,Group,97500000.0,5,social media,positif,bagus,70,10,1,3,Ya,5,B0633,Ibun,14,5000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
633,P0634,PT Nuraini (Persero) Tbk,Zamira Prasetyo,"Gg. Suniaraja No. 288
Tasikmalaya, KB 31468",0877309765,septi41@example.com,Informasi Dan Komunikasi,2021-09-25,5,peristiwa khusus,15,Group,96900000.0,5,social media,positif,bagus,74,10,1,5,Ya,5,B0634,Haris,17,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
634,P0635,UD Hidayat,Galur Wijaya,"Gg. Bangka Raya No. 7
Padang, BA 13128",+62 (509) 590 2750,rajasateddy@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2021-09-26,5,diskon,7,Group,104000000.0,5,social media,positif,bagus,71,10,1,4,Ya,5,B0635,Ibun,14,7000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
635,P0636,CV Puspasari,Panca Mahendra,"Gg. Suniaraja No. 47
Sibolga, Papua Barat 71371",082 880 1727,banarawahyudin@example.net,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2021-09-27,5,diskon,15,Group,99200000.0,5,social media,positif,bagus,71,10,1,5,Ya,4,B0636,Rian,14,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
636,P0637,Perum Nababan Tbk,Drs. Hartana Anggraini,"Jl. Abdul Muis No. 50
Surabaya, Kalimantan Timur 37092",+62 (530) 087-8556,entengusada@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-09-28,5,diskon,6,Group,99200000.0,5,social media,positif,bagus,74,10,1,2,Ya,4,B0637,Reza,9,9000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
637,P0638,UD Wulandari Tbk,"Hj. Dina Anggriawan, M.Ak","Gang Pasirkoja No. 6
Balikpapan, DKI Jakarta 24980",+62 (97) 707 0622,widiastutichandra@example.org,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-09-29,5,diskon,2,Group,99200000.0,4,social media,positif,bagus,73,10,1,2,Ya,5,B0638,Ibun,8,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
638,P0639,PT Puspita Pangestu,drg. Mila Prayoga,"Gang Sukabumi No. 770
Bima, Banten 10466",+62 (580) 622-4061,jthamrin@example.org,Real Estat,2021-09-30,5,diskon,18,Group,99200000.0,5,social media,positif,bagus,73,10,1,4,Ya,4,B0639,Ibun,17,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
639,P0640,UD Agustina Prastuti (Persero) Tbk,Silvia Wahyudin,"Jalan Jamika No. 596
Blitar, Kepulauan Riau 94569",(0434) 058-4795,vhandayani@example.com,Aktivitas Keuangan dan Asuransi,2021-10-01,5,peristiwa khusus,15,Group,105400000.0,4,social media,positif,bagus,72,10,1,5,Ya,4,B0640,Iqbal,15,7000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
640,P0641,CV Oktaviani,"Drs. Kawaca Safitri, S.Psi","Jalan Setiabudhi No. 08
Pontianak, Aceh 81166",(0593) 277-8236,dalimasaragih@example.org,Pertambangan dan Penggalian,2021-10-02,5,diskon,7,Group,99200000.0,5,social media,positif,bagus,72,10,1,3,Ya,5,B0641,Iqbal,12,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
641,P0642,PT Halim Iswahyudi Tbk,Lasmono Nababan,"Gg. Cihampelas No. 560
Palembang, SG 37727",+62 (856) 980-7377,kamaria50@example.net,"Aktivitas Profesional, Ilmiah Dan Teknis",2021-10-03,5,diskon,17,Group,105400000.0,5,social media,positif,bagus,72,10,1,5,Ya,4,B0642,Haris,17,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
642,P0643,CV Gunarto Tbk,"drg. Suci Wijayanti, S.Sos","Jl. Wonoayu No. 36
Singkawang, KU 91280",+62 (590) 131 5656,hhabibi@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-10-04,4,diskon,18,Group,99200000.0,5,phone,positif,bagus,72,10,1,5,Ya,5,B0643,Haris,17,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
643,P0644,UD Anggraini (Persero) Tbk,"Ir. Ani Puspita, M.Kom.","Jalan Pasteur No. 202
Bandar Lampung, BT 54931",(0445) 990-4061,fwahyuni@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-10-05,5,diskon,15,Group,99200000.0,5,social media,positif,bagus,73,10,1,5,Ya,4,B0644,Rian,17,7000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
644,P0645,Perum Andriani (Persero) Tbk,Mahesa Kuswoyo,"Gg. Antapani Lama No. 67
Tebingtinggi, JA 88334",+62 (78) 318-3355,kasusrasantoso@example.net,Pendidikan,2021-10-06,4,diskon,10,Group,96900000.0,5,social media,positif,bagus,70,10,1,4,Ya,4,B0645,Haris,14,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
645,P0646,CV Sihotang Nugroho Tbk,Wardi Zulaika,"Jl. Abdul Muis No. 42
Cirebon, Aceh 60333",0814841365,aryanirahmi@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-10-07,5,diskon,4,Group,93000000.0,5,social media,positif,bagus,72,10,1,2,Ya,5,B0646,Ibun,11,7000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
646,P0647,PD Sihombing,"Tgk. Anastasia Maryadi, M.Farm","Gg. Kebonjati No. 66
Palu, Maluku Utara 11623",(0973) 486-5744,harsanasafitri@example.net,Pendidikan,2021-10-08,5,diskon,11,Group,91200000.0,5,social media,positif,bagus,72,10,1,3,Ya,5,B0647,Haris,14,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
647,P0648,PT Rajasa Rahmawati Tbk,Satya Nababan,"Gang Gedebage Selatan No. 18
Tasikmalaya, Bali 00191",+62 (0618) 188-9226,qpermadi@example.org,Aktivitas Keuangan dan Asuransi,2021-10-09,5,diskon,5,Group,105400000.0,5,social media,positif,bagus,74,10,1,3,Ya,5,B0648,Ibun,10,3000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
648,P0649,PT Safitri Prasetya,Hj. Uli Permata,"Gg. S. Parman No. 4
Tual, MU 51217",0815666481,kenari34@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",2021-10-10,5,diskon,2,Group,99200000.0,5,social media,positif,bagus,72,10,1,2,Ya,5,B0649,Ibun,8,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
649,P0650,PD Nurdiyanti,Caket Najmudin,"Gang Setiabudhi No. 180
Padangpanjang, Sulawesi Barat 98915",(035) 332 0185,legahabibi@example.com,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2021-10-11,5,diskon,9,Group,91200000.0,5,social media,positif,bagus,72,10,1,3,Ya,4,B0650,Rian,14,7000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
650,P0651,PD Narpati Firgantoro Tbk,"drg. Zahra Halimah, M.M.","Jl. Cempaka No. 319
Solok, BE 72273",(0007) 825-8127,qhutagalung@example.com,Real Estat,2021-10-12,5,diskon,19,Group,104000000.0,5,social media,positif,bagus,73,10,1,4,Ya,5,B0651,Ibun,17,7000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
651,P0652,PT Purwanti Yulianti (Persero) Tbk,"Dt. Langgeng Widodo, S.Kom","Gg. H.J Maemunah No. 131
Tarakan, KB 13530",(0657) 899 9904,ana75@example.net,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-10-13,5,diskon,13,Group,93000000.0,5,social media,positif,bagus,72,10,1,4,Ya,5,B0652,Haris,17,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
652,P0653,CV Saputra Uyainah,Dinda Mandala,"Gg. Tebet Barat Dalam No. 66
Ambon, Sumatera Utara 58970",+62-421-290-6452,johanwasita@example.com,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,2021-10-14,5,diskon,20,Group,105400000.0,5,social media,positif,bagus,74,10,1,4,Ya,4,B0653,Ibun,14,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
653,P0654,PD Utama Wibowo (Persero) Tbk,Raisa Rahmawati,"Gg. Bangka Raya No. 98
Banjar, SU 70738",+62 (047) 357-9744,nababanpuput@example.com,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-10-15,4,diskon,18,Group,99200000.0,5,social media,positif,bagus,74,10,1,5,Ya,4,B0654,Lukas,16,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
654,P0655,CV Sihombing Kurniawan (Persero) Tbk,"Ellis Widodo, M.Farm","Jl. Peta No. 032
Surakarta, Kalimantan Selatan 94659",+62 (805) 583 7093,laksmiwatiridwan@example.com,"Kesenian, Hiburan Dan Rekreasi",2021-10-16,5,diskon,8,Group,97500000.0,5,social media,positif,bagus,73,10,1,3,Ya,4,B0655,Haris,14,10000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
655,P0656,Perum Nuraini Damanik Tbk,Azalea Handayani,"Jl. Merdeka No. 6
Pekanbaru, SG 07593",+62 (930) 762-7577,faridaaditya@example.net,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-10-17,5,peristiwa khusus,15,Group,99200000.0,5,social media,positif,bagus,72,10,1,4,Ya,5,B0656,Reza,17,11000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
656,P0657,PT Hassanah Mandasari,"Simon Dongoran, S.Kom","Gg. Ciumbuleuit No. 743
Bengkulu, Lampung 09667",+62 (928) 076 5143,ozyprabowo@example.net,Aktivitas Jasa Lainnya,2021-10-18,4,peristiwa khusus,18,Group,93000000.0,5,social media,positif,bagus,73,10,1,5,Ya,5,B0657,Reza,17,11000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
657,P0658,Perum Prasasta Adriansyah,dr. Jarwa Sihombing,"Jalan M.H Thamrin No. 56
Surabaya, KR 82375",+62-78-919-0485,pancatarihoran@example.org,Aktivitas Keuangan dan Asuransi,2021-10-19,5,diskon,3,Group,105400000.0,5,social media,positif,bagus,72,10,1,2,Ya,5,B0658,Alam,8,8000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
658,P0659,CV Nasyidah,Ian Rajasa,"Jl. H.J Maemunah No. 08
Subulussalam, KI 35759",089 641 2076,jmelani@example.com,Pengangkutan dan Pergudangan,2021-10-20,5,peristiwa khusus,14,Group,93000000.0,5,social media,positif,bagus,74,10,1,5,Ya,5,B0659,Rian,17,7000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
659,P0660,PT Sudiati Tamba Tbk,Lili Firmansyah,"Gang Moch. Toha No. 01
Palangkaraya, Kalimantan Timur 06668",+62 (014) 992 2171,gamanto93@example.org,Pertambangan dan Penggalian,2021-10-21,5,diskon,9,Group,104000000.0,5,social media,positif,bagus,71,10,1,4,Ya,4,B0660,Iqbal,11,3000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
660,P0661,PD Suartini Haryanti,Nadine Melani,"Gang Erlangga No. 613
Madiun, BE 94372",+62 (0377) 364 4414,ghalim@example.org,Pertambangan dan Penggalian,2021-10-22,5,diskon,17,Group,99200000.0,5,social media,positif,bagus,72,10,1,5,Ya,5,B0661,Iqbal,17,6000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
661,P0662,PD Wijaya Tbk,Aisyah Mardhiyah,"Jalan Pelajar Pejuang No. 1
Pekalongan, PA 69487",(0389) 570-1385,mangunsongilyas@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-10-23,5,diskon,20,Group,105400000.0,5,social media,positif,bagus,71,10,1,4,Ya,4,B0662,Ibun,17,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
662,P0663,UD Nababan Salahudin Tbk,"Puput Kusmawati, M.TI.","Jl. Monginsidi No. 9
Cilegon, Papua 62537",(076) 604-8627,qdongoran@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-10-24,5,diskon,4,Group,105400000.0,5,social media,positif,bagus,73,10,1,3,Ya,5,B0663,Alam,8,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
663,P0664,UD Gunawan Wibisono Tbk,Kanda Handayani,"Jalan Jend. Sudirman No. 573
Pariaman, GO 55213",+62-081-729-4830,winda26@example.net,"Pertanian, Kehutanan dan Perikanan",2021-10-25,5,diskon,15,Group,105400000.0,5,social media,positif,bagus,74,10,1,4,Ya,5,B0664,Ibun,14,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
664,P0665,PD Tamba,"Tgk. Ika Yuliarti, M.Kom.","Gg. Sukabumi No. 58
Kupang, Sumatera Selatan 83032",+62-79-394-3946,niyaga11@example.org,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,2021-10-26,5,diskon,20,Group,104000000.0,5,social media,positif,bagus,74,10,1,4,Ya,4,B0665,Reza,14,8000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
665,P0666,UD Prasasta Nababan (Persero) Tbk,Hj. Eka Zulkarnain,"Gang Ir. H. Djuanda No. 24
Tual, Sulawesi Utara 61280",+62 (033) 770 5320,manullangcengkir@example.net,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-10-27,4,diskon,15,Group,104000000.0,5,social media,positif,bagus,71,10,1,5,Ya,5,B0666,Ibun,17,7000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
666,P0667,CV Winarno,"Farah Sinaga, S.Pd","Gang Pelajar Pejuang No. 4
Payakumbuh, Aceh 63225",+62 (418) 172 5349,upuspasari@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",2021-10-28,4,diskon,9,Group,93000000.0,5,social media,positif,bagus,70,10,1,4,Ya,4,B0667,Iqbal,12,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
667,P0668,PT Hutasoit,"Hartana Winarsih, S.Pd","Jalan Sukabumi No. 2
Batu, Jawa Tengah 95058",0875262720,wrahmawati@example.org,Industri Pengolahan,2021-10-29,5,diskon,10,Group,93000000.0,5,social media,positif,bagus,73,10,1,4,Ya,4,B0668,Reza,14,11000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
668,P0669,UD Wasita Anggriawan,"Ir. Septi Thamrin, S.I.Kom","Jl. Siliwangi No. 35
Meulaboh, Sulawesi Utara 98849",+62-075-495-3469,latif98@example.com,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-10-30,5,diskon,2,Group,105400000.0,5,social media,positif,bagus,70,10,1,2,Ya,5,B0669,Ibun,7,3000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
669,P0670,CV Uwais Tbk,Dadi Suryono,"Jl. Ir. H. Djuanda No. 10
Kotamobagu, Maluku 99559",+62 (0037) 314 9729,pangeran60@example.org,IPenyediaan Akomodasi Dan Penyediaan Makan Minum,2021-10-31,4,diskon,9,Group,104000000.0,4,social media,positif,bagus,70,10,1,3,Ya,5,B0670,Reza,14,11000000,35,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
670,P0671,CV Mangunsong Susanti,"Zelaya Lestari, S.Pd","Jl. Suryakencana No. 8
Pontianak, JI 38328",+62-805-799-5576,daliman42@example.net,Informasi Dan Komunikasi,2021-11-01,5,diskon,9,Group,91200000.0,4,social media,positif,bagus,74,10,1,4,Ya,4,B0671,Haris,13,9000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
671,P0672,UD Thamrin Astuti Tbk,"Eka Rahimah, S.E.I","Gg. Pasir Koja No. 3
Cirebon, NT 19872",+62-01-270-1691,oskar66@example.com,Informasi Dan Komunikasi,2021-11-02,5,diskon,10,Group,91200000.0,4,phone,positif,bagus,70,10,1,3,Ya,5,B0672,Haris,14,10000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
672,P0673,PT Dongoran Tbk,Kawaca Maulana,"Gg. Gardujati No. 324
Bekasi, Jawa Tengah 16079",+62-37-481-8528,zamirasinaga@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,2021-11-03,5,diskon,17,Group,93000000.0,5,social media,positif,bagus,71,10,1,5,Ya,5,B0673,Haris,15,8000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
673,P0674,PD Adriansyah Haryanti Tbk,Faizah Simanjuntak,"Jalan Joyoboyo No. 4
Tasikmalaya, Jambi 57583",+62 (000) 026-4682,msantoso@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,2021-11-04,5,diskon,5,Group,99200000.0,5,social media,positif,bagus,70,10,1,2,Ya,4,B0674,Reza,11,11000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
674,P0675,CV Kusumo,"Karen Wijayanti, S.Psi","Jalan Pasteur No. 016
Magelang, Sulawesi Tenggara 07487",+62-046-810-2647,lananghabibi@example.org,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",2021-11-05,5,diskon,18,Group,91200000.0,5,social media,positif,bagus,73,10,1,5,Ya,4,B0675,Ibun,17,7000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
675,P0676,PD Zulaika Tbk,"Harja Rahmawati, S.I.Kom","Jalan Sadang Serang No. 942
Gorontalo, Sulawesi Tengah 28376",+62 (004) 114-0882,ppuspasari@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",2021-11-06,5,diskon,10,Group,99200000.0,5,social media,positif,bagus,70,10,1,3,Ya,4,B0676,Ibun,14,4000000,38,Leadership & Managerial Series,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen,Agile Leadership What Leaders Have To Do in Enabling Agile Transformation,Infografis & Pembuatan Materi Presentasi bagi Level Manajemen
